year,station_id,station_name,station_lat,station_lon,station_address
2017,139,Virrey Liniers,-34.6333089848092,-58.413150468691505,Salcedo 3401 y Virrey Liniers
2017,144,Pueyrredón,-34.601779712818605,-58.4057904124662,Boulogne Sur Mer y Tucuman
2017,111,Macacha Güemes,-34.6049691631744,-58.3629996585557,Macacha Guemes y Juana Manso
2017,123,Armenia,-34.5854242215495,-58.421044153603795,Armenia 2393 y Charcas
2017,167,Hipólito Yrigoyen,-34.61506434662,-58.42878106059361,Hipolito Yrigoyen entre Muñiz y La Plata
2017,129,Velasco,-34.600164664861104,-58.434954874725705,Velasco 285 entre Julián Álvarez y Lavalleja
2017,90,Gutiérrez,-34.5871172067942,-58.399368569691,Juan Maria Gutiérrez entre Aguero y Laprida
2017,93,Carlos Calvo,-34.6206013403211,-58.39476949340071,Carlos Calvo y Sarandí
2017,124,Ugarteche,-34.5810816066871,-58.412313560298394,Ugarteche entre Cabello y Las Heras
2017,135,Marcelo T. de Alvear,-34.596455762618106,-58.3797648546651,Marcelo T de Alvear y Suipacha
2017,176,Pinzón,-34.6340720907317,-58.3609331461699,Pinzón 469 y Martín Rodríguez
2017,128,Plaza Hipólito Bouchard,-34.6041288551832,-58.3682319681783,Plaza Hipólito Bouchard - Av Eduardo Madero y Perón Juan
2017,112,9 de Julio,-34.6123893028971,-58.38076631152289,9 de Julio y Moreno
2017,140,Las Casas,-34.635148035031,-58.415775044145796,Las Casas 3587 entre Av. Boedo y Alzaga
2017,89,Cabello,-34.5824723755753,-58.4053126989307,Cabello entre Cnel Díaz y Ortiz de Ocampo
2017,181,Billinghurst y Mansilla,-34.5926966138816,-58.411913670783605,Billinghurst 1533 y Mansilla
2017,145,Ravignani,-34.5804694653892,-58.4378366120078,Ravignani 1883 y Costa Rica
2017,172,Brasil,-34.6256071806032,-58.3709849319133,Brasil y Defensa
2017,83,Paraná,-34.603004436286504,-58.388415093700104,Lavalle enttre Montevideo y Paraná
